time,Hourly Demand Met (in MW)
01-Apr 12am,2189.29
01-Apr 1am,2067.77
01-Apr 2am,1995.01
01-Apr 3am,1965.95
01-Apr 4am,2035.17
01-Apr 5am,2236.85
01-Apr 6am,2672.85
01-Apr 7am,3039.78
01-Apr 8am,3106.04
01-Apr 9am,3235.06
01-Apr 10am,3406.78
01-Apr 11am,3369.46
01-Apr 12pm,3273.05
01-Apr 1pm,3019.01
01-Apr 2pm,2981.34
01-Apr 3pm,2981.03
01-Apr 4pm,2985.03
01-Apr 5pm,3096.81
01-Apr 6pm,3126.86
01-Apr 7pm,3067.53
01-Apr 8pm,2861.78
01-Apr 9pm,2603.81
01-Apr 10pm,2436.03
01-Apr 11pm,2262.72
02-Apr 12am,2090.28
02-Apr 1am,1975.06
02-Apr 2am,1913.44
02-Apr 3am,1879.73
02-Apr 4am,1945.30
02-Apr 5am,2082.15
02-Apr 6am,2383.99
02-Apr 7am,2750.76
02-Apr 8am,2895.46
02-Apr 9am,3118.22
02-Apr 10am,3282.12
02-Apr 11am,3335.27
02-Apr 12pm,3202.93
02-Apr 1pm,2939.92
02-Apr 2pm,2867.77
02-Apr 3pm,2801.75
02-Apr 4pm,2808.51
02-Apr 5pm,2865.65
02-Apr 6pm,2958.08
02-Apr 7pm,3062.01
02-Apr 8pm,2923.20
02-Apr 9pm,2725.12
02-Apr 10pm,2574.11
02-Apr 11pm,2393.75
03-Apr 12am,2216.48
03-Apr 1am,2082.25
03-Apr 2am,2028.77
03-Apr 3am,1989.79
03-Apr 4am,2066.32
03-Apr 5am,2339.50
03-Apr 6am,2910.72
03-Apr 7am,3190.76
03-Apr 8am,3220.86
03-Apr 9am,3397.16
03-Apr 10am,3592.72
03-Apr 11am,3568.85
03-Apr 12pm,3516.87
03-Apr 1pm,3229.35
03-Apr 2pm,3300.41
03-Apr 3pm,3293.55
03-Apr 4pm,3356.01
03-Apr 5pm,3344.93
03-Apr 6pm,3340.81
03-Apr 7pm,3406.07
03-Apr 8pm,3152.66
03-Apr 9pm,2873.94
03-Apr 10pm,2729.71
03-Apr 11pm,2543.78
04-Apr 12am,2359.55
