time,Hourly Demand Met (in MW)
01-Apr 12am,22736.49
01-Apr 1am,22611.67
01-Apr 2am,22357.62
01-Apr 3am,22378.46
01-Apr 4am,22809.98
01-Apr 5am,23372.07
01-Apr 6am,23647.17
01-Apr 7am,23379.63
01-Apr 8am,23030.33
01-Apr 9am,23788.36
01-Apr 10am,25062.39
01-Apr 11am,25523.19
01-Apr 12pm,25187.02
01-Apr 1pm,24403.96
01-Apr 2pm,24540.80
01-Apr 3pm,24882.29
01-Apr 4pm,24156.44
01-Apr 5pm,23454.23
01-Apr 6pm,22694.17
01-Apr 7pm,23479.25
01-Apr 8pm,22935.00
01-Apr 9pm,22370.74
01-Apr 10pm,22544.98
01-Apr 11pm,22688.59
02-Apr 12am,22805.67
02-Apr 1am,22796.45
02-Apr 2am,22612.30
02-Apr 3am,22582.91
02-Apr 4am,23210.68
02-Apr 5am,23551.12
02-Apr 6am,23646.43
02-Apr 7am,23325.52
02-Apr 8am,23270.28
02-Apr 9am,23932.03
02-Apr 10am,24947.46
02-Apr 11am,25445.14
02-Apr 12pm,25414.14
02-Apr 1pm,24654.19
02-Apr 2pm,24360.00
02-Apr 3pm,24284.54
02-Apr 4pm,23624.28
02-Apr 5pm,22874.52
02-Apr 6pm,21991.01
02-Apr 7pm,22793.61
02-Apr 8pm,22502.52
02-Apr 9pm,22052.40
02-Apr 10pm,22173.03
02-Apr 11pm,22419.99
03-Apr 12am,22407.96
03-Apr 1am,22306.20
03-Apr 2am,22109.90
03-Apr 3am,22099.34
03-Apr 4am,22699.19
03-Apr 5am,23275.96
03-Apr 6am,24582.47
03-Apr 7am,24772.35
03-Apr 8am,24673.07
03-Apr 9am,25551.86
03-Apr 10am,26521.48
03-Apr 11am,27232.84
03-Apr 12pm,26834.99
03-Apr 1pm,26208.71
03-Apr 2pm,26500.90
03-Apr 3pm,26370.57
03-Apr 4pm,25646.99
03-Apr 5pm,24850.09
03-Apr 6pm,23780.73
03-Apr 7pm,24413.45
03-Apr 8pm,23929.27
03-Apr 9pm,23251.63
03-Apr 10pm,23523.89
03-Apr 11pm,23722.58
04-Apr 12am,23712.92
04-Apr 1am,23561.17
04-Apr 2am,23313.63
04-Apr 3am,23400.66
04-Apr 4am,23764.97
04-Apr 5am,24148.50
04-Apr 6am,24504.08
04-Apr 7am,24406.00
04-Apr 8am,24852.87
04-Apr 9am,25988.29
04-Apr 10am,27045.90
04-Apr 11am,27683.47
04-Apr 12pm,27192.37
04-Apr 1pm,26610.76
04-Apr 2pm,26776.39
04-Apr 3pm,27120.18
04-Apr 4pm,26511.31
04-Apr 5pm,25561.68
04-Apr 6pm,24520.23
04-Apr 7pm,24830.98
04-Apr 8pm,24578.28
04-Apr 9pm,23946.18
04-Apr 10pm,24169.40
04-Apr 11pm,24447.79
05-Apr 12am,24351.62
05-Apr 1am,24415.68
05-Apr 2am,23995.28
05-Apr 3am,23934.11
05-Apr 4am,24234.91
05-Apr 5am,24778.05
05-Apr 6am,25337.08
05-Apr 7am,24865.32
05-Apr 8am,25023.22
05-Apr 9am,25813.44
05-Apr 10am,26950.20
05-Apr 11am,27557.96
05-Apr 12pm,27446.02
05-Apr 1pm,26811.69
05-Apr 2pm,27342.18
05-Apr 3pm,27486.67
05-Apr 4pm,26629.00
05-Apr 5pm,25733.72
05-Apr 6pm,24812.18
05-Apr 7pm,25088.47
05-Apr 8pm,24632.67
05-Apr 9pm,24064.32
05-Apr 10pm,24353.91
05-Apr 11pm,24528.27
06-Apr 12am,24351.29
06-Apr 1am,24252.99
06-Apr 2am,23842.10
06-Apr 3am,23860.48
06-Apr 4am,24266.47
06-Apr 5am,24887.55
06-Apr 6am,25249.52
06-Apr 7am,24679.77
06-Apr 8am,24734.20
