time,Hourly Demand Met (in MW)
01-Jan 12am,19025.35
01-Jan 1am,19347.82
01-Jan 2am,19285.98
01-Jan 3am,19319.33
01-Jan 4am,19637.19
01-Jan 5am,20393.03
01-Jan 6am,21040.94
01-Jan 7am,21685.42
01-Jan 8am,22430.28
01-Jan 9am,23424.89
01-Jan 10am,24648.76
01-Jan 11am,24496.31
01-Jan 12pm,23827.63
01-Jan 1pm,23207.68
01-Jan 2pm,22900.01
01-Jan 3pm,22844.03
01-Jan 4pm,21906.31
01-Jan 5pm,20512.11
01-Jan 6pm,20549.73
01-Jan 7pm,20704.61
01-Jan 8pm,19396.22
01-Jan 9pm,18725.47
01-Jan 10pm,18395.42
01-Jan 11pm,18297.34
02-Jan 12am,18262.61
02-Jan 1am,18328.43
02-Jan 2am,18337.63
02-Jan 3am,18287.65
02-Jan 4am,18844.19
02-Jan 5am,19840.82
02-Jan 6am,21166.16
02-Jan 7am,22354.65
02-Jan 8am,23453.85
02-Jan 9am,24644.45
02-Jan 10am,25960.87
02-Jan 11am,25815.20
02-Jan 12pm,25503.17
02-Jan 1pm,24713.10
02-Jan 2pm,24919.92
02-Jan 3pm,24930.04
02-Jan 4pm,24186.67
02-Jan 5pm,22973.89
02-Jan 6pm,23008.71
02-Jan 7pm,22783.21
02-Jan 8pm,21240.84
02-Jan 9pm,20512.07
02-Jan 10pm,19989.55
02-Jan 11pm,19610.83
03-Jan 12am,19561.19
03-Jan 1am,19685.42
03-Jan 2am,19721.33
03-Jan 3am,19783.94
03-Jan 4am,20239.26
03-Jan 5am,21120.76
03-Jan 6am,22526.15
03-Jan 7am,23620.43
03-Jan 8am,24534.62
03-Jan 9am,25615.88
03-Jan 10am,26671.67
03-Jan 11am,26404.86
03-Jan 12pm,25836.21
03-Jan 1pm,25147.04
03-Jan 2pm,25218.36
03-Jan 3pm,25291.14
03-Jan 4pm,24458.09
03-Jan 5pm,23121.58
03-Jan 6pm,22782.57
03-Jan 7pm,23247.02
03-Jan 8pm,21808.36
03-Jan 9pm,21170.19
03-Jan 10pm,20582.62
03-Jan 11pm,20311.55
04-Jan 12am,19874.18
04-Jan 1am,19692.74
04-Jan 2am,19533.86
04-Jan 3am,19516.50
04-Jan 4am,19839.39
04-Jan 5am,20637.93
04-Jan 6am,21851.39
04-Jan 7am,22790.13
04-Jan 8am,23060.57
04-Jan 9am,23702.08
04-Jan 10am,24296.22
04-Jan 11am,23974.09
04-Jan 12pm,23254.81
04-Jan 1pm,22267.60
04-Jan 2pm,22214.88
04-Jan 3pm,22200.38
04-Jan 4pm,21665.68
04-Jan 5pm,21524.36
04-Jan 6pm,22468.39
04-Jan 7pm,22794.13
04-Jan 8pm,21632.87
04-Jan 9pm,20911.26
04-Jan 10pm,20054.26
04-Jan 11pm,19445.70
05-Jan 12am,19160.80
05-Jan 1am,19173.14
05-Jan 2am,19104.86
05-Jan 3am,19298.76
05-Jan 4am,19932.35
05-Jan 5am,20968.57
05-Jan 6am,22162.12
05-Jan 7am,23493.69
05-Jan 8am,24507.71
05-Jan 9am,25689.77
05-Jan 10am,26697.47
05-Jan 11am,26493.08
05-Jan 12pm,25895.16
05-Jan 1pm,25368.15
05-Jan 2pm,25382.25
05-Jan 3pm,25365.70
05-Jan 4pm,24659.06
05-Jan 5pm,23507.03
05-Jan 6pm,23501.65
05-Jan 7pm,23101.68
05-Jan 8pm,21737.28
05-Jan 9pm,20842.80
05-Jan 10pm,20172.57
05-Jan 11pm,19693.32
06-Jan 12am,19446.25
06-Jan 1am,19478.57
06-Jan 2am,19392.50
06-Jan 3am,19519.95
